ID	GeoGroup	BerryColour
KUMSH_B	Current study	B
KRASN_Z	Current study	N
KOKUR_B	Current study	B
W_SARK_1	Current study	N
TSM_CH_1	Current study	N
VARUSH_1	Current study	N
MUSC_HMB	Current study	N
PUHL_B_1	Current study	B
PLECH_1	Current study	N
Tsolikouri	EMCA	B
Orlovi nokti	BALK	B
Espadeiro tinto	IBER	N
Chouchillon	WCEUR	B
Araklinos	BALK	N
Cabernet franc	WCEUR	N
Medouar	EMCA	nd
Carignan	IBER	N
Malvasia di Sardegna	ITAP	B
Colorino	ITAP	N
Savagnin blanc	WCEUR	B
Castellana blanca	IBER	B
Plant de Pedebernade 1	WCEUR	N
Roussette basse de Seyssel	WCEUR	B
Carcajolo	IBER	N
Avarengo	ITAP	N
Poulsard	WCEUR	N
Donzelinho branco	IBER	B
Gibert	WCEUR	N
Baroque	WCEUR	B
Dili kaftar	RUUK	Rs
Ambary	EMCA	B
Ferral	IBER	Rg
Bezoul el Kelba	MAGH	B
Amigne	WCEUR	B
Lambrusco di Sorbara	ITAP	N
Coda di volpe bianca	ITAP	B
Zemoasa	BALK	B
Brun Fourca	WCEUR	N
Palomino fino	IBER	B
Tempranillo	IBER	N
Albillo Real	IBER	B
Aledo	IBER	B
Alphonse Lavallée	WCEUR	N
Zalema	IBER	B
Uva de Rey	IBER	B
Pedro Ximénez	IBER	B
Derechero	IBER	N
Xarello	IBER	B
Parellada	IBER	B
Airén	IBER	B
Verdejo de Salamanca	IBER	B
Mencia	IBER	N
Borraçal	IBER	N
Alcanon	IBER	B
Treixadura	IBER	B
Moristel	IBER	N
Planta mula faux	IBER	N
Planta nova	IBER	B
Napoleon	IBER	N
Forcallat tinta	IBER	N
Trousseau	WCEUR	N
Negra mole	IBER	N
Alarije	IBER	B
Valensi noir	MAGH	N
Vijiriega	IBER	B
Dominga	IBER	B
Alvarelhão	IBER	N
Manseng noir	WCEUR	N
Monstruosa	IBER	B
Ragol	IBER	Rs
Sumoll tinto	IBER	N
Trepat	IBER	N
Tinta Madeira	IBER	N
Verdil	IBER	B
Verdejo	IBER	B
Txakoli	WCEUR	N
Icod de los Vinos	IBER	N
Sasca (Collection Ravaz)	BALK	B-Rs
Skiadopoulo	BALK	B
Starinky	RUUK	B
Stavroto faux	BALK	N
Totika	BALK	N
Urbanitraube noir	WCEUR	N
Urmi dinka	BALK	B
